id_polea,tipo,tiempo_ciclo
1,grande,4.130409160462124
2,chica,3.7776538510915376
3,chica,3.8537004977733336
4,chica,4.207428110061958
5,grande,4.436459990593077
6,grande,4.452210800295176
7,grande,4.467692763429812
9,chica,4.694427718773831
8,grande,4.775720973221299
11,grande,4.531087277776097
10,grande,4.758476505939411
12,chica,3.756210351902851
13,chica,3.9546365735511593
15,chica,4.067039624171976
14,grande,4.2995465387085225
16,chica,4.419136905902235
17,grande,4.189512831285699
18,grande,4.7081980402816
19,grande,4.492366190059219
21,chica,4.255465606503442
20,grande,4.559413927147329
22,chica,3.967824362328834
23,grande,4.373322572667014
25,chica,4.290982618799049
24,grande,4.560617336914142
26,grande,4.233789144190187
27,chica,4.334454456957825
28,grande,4.2512998556023405
29,grande,4.712240979407788
30,chica,3.938940477902591
32,chica,3.9344042121304668
33,grande,4.3859826085416245
31,grande,4.65755236431103
34,grande,4.480039287191978
35,grande,4.497459558612071
36,chica,3.950589359307095
37,grande,4.353427060314175
39,chica,4.227328690527031
38,grande,4.760772931372848
40,grande,4.728718742869866
42,chica,4.220857285107478
41,grande,4.6002416032534725
43,chica,4.120468325945531
44,grande,4.507328161344049
46,chica,4.350142438004639
45,grande,4.721570957859804
48,grande,4.20326007176088
47,grande,4.501316832745964
49,chica,3.905713377411473
50,grande,4.652954203954067
52,grande,4.32164160669808
51,grande,4.329543700301286
53,grande,4.037132249294935
54,chica,4.012840712068247
55,chica,4.050832133154621
56,chica,3.848561777102006
57,chica,4.181782322882626
58,grande,4.095754289939649
59,chica,4.04847090958846
60,grande,4.355104633504567
61,chica,4.204702087097729
62,chica,3.747501369507333
65,chica,4.325695812830347
64,grande,4.559705103039818
63,grande,4.82842986565656
66,chica,3.9225994780048694
67,grande,4.564276797516783
68,chica,4.021087229983522
69,chica,3.9439336483793426
71,chica,3.883194021272544
70,chica,4.257794948129245
72,chica,5.006550417087155
74,chica,5.012558704561087
73,grande,5.330181222575021
76,grande,5.143818593672989
77,chica,4.9449060167674475
75,grande,5.623951249927799
79,grande,5.198486752319326
78,grande,5.659405721525758
81,grande,5.586081665527871
80,grande,5.66930285562303
82,chica,3.981263306747266
83,grande,4.159898202639567
84,chica,3.8367641704242743
85,chica,4.002290348878006
86,grande,5.126245030214008
87,chica,4.277915780505921
88,chica,4.021773222146237
89,chica,4.300261408610524
91,grande,4.4000577504117615
90,grande,4.43814642948351
92,chica,3.847001152195972
